opponent_team,was_home,round,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,saves,yellow_cards,red_cards,influence,creativity,threat,ict_index,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution,total_points,player_id,avg_points_last3,avg_minutes_last3,xG_last5,xA_last5,xGI_last5,minutes_ratio,opp_avg_goals_conceded,opp_goals_allowed_last5
2,False,15,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5,0.0,0.0,0.0,0.11,0.11,0.0,0.025727069351230425,0.0
20,True,16,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5,0.0,0.0,0.0,0.006,0.006,0.0,0.03773584905660377,0.0
9,False,17,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.027563395810363836,0.0
6,True,18,19,0,0,0,0,0,0,0,0,0.0,0.2,4.0,0.3,0.02,0.0,0.02,0.32,0,1,1,1,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.025527192008879023,0.0
2,True,19,76,1,1,0,1,0,0,0,0,47.8,1.4,35.0,8.4,0.41,0.01,0.42,0.67,0,4,2,4,15,5,0.3333333333333333,6.333333333333333,0.004,0.0,0.004,0.07037037037037036,0.025727069351230425,0.2
4,False,20,90,1,1,0,0,2,0,0,0,55.4,1.5,19.0,7.6,0.17,0.01,0.18,1.43,2,10,0,12,9,5,5.333333333333333,31.666666666666668,0.086,0.002,0.088,0.35185185185185186,0.04371584699453552,0.2
12,True,21,90,1,0,0,1,0,0,0,0,21.8,7.3,12.0,4.1,0.14,0.05,0.19,0.36,0,6,3,6,6,5,8.333333333333334,61.66666666666666,0.12,0.004,0.124,0.6851851851851851,0.037199124726477024,0.0
16,False,22,90,1,0,0,1,0,0,0,0,19.6,1.6,5.0,2.6,0.14,0.01,0.15,0.34,1,6,1,7,8,5,10.0,85.33333333333333,0.148,0.014,0.162,0.9481481481481481,0.03200883002207505,0.0
14,True,23,90,1,0,0,0,3,0,0,0,13.4,4.2,2.0,2.0,0.0,0.01,0.01,0.71,1,5,2,6,1,5,7.666666666666667,90.0,0.176,0.016,0.192,1.0,0.030837004405286344,0.0
11,False,24,90,1,0,0,1,0,0,0,0,33.6,0.8,19.0,5.3,0.02,0.05,0.07,0.15,2,11,2,13,8,5,5.0,90.0,0.172,0.018,0.19,1.0,0.04266958424507659,0.0
17,True,25,90,1,0,0,1,0,0,0,0,17.2,1.7,0.0,1.9,0.0,0.01,0.01,0.19,1,6,1,7,6,5,5.666666666666667,90.0,0.094,0.026,0.12,1.0,0.033105022831050226,0.0
5,False,26,90,1,0,0,0,1,0,1,0,43.0,6.4,8.0,5.7,0.12,0.03,0.15,1.51,4,14,4,18,3,5,5.0,90.0,0.06,0.026,0.086,1.0,0.030204962243797196,0.0
20,False,26,90,1,0,1,0,2,0,0,0,32.8,15.0,0.0,4.8,0.0,0.14,0.14,0.29,0,6,5,6,4,5,5.666666666666667,90.0,0.056,0.022,0.078,1.0,0.03773584905660377,0.0
18,False,27,90,1,0,0,0,1,0,0,0,18.2,1.8,0.0,2.0,0.0,0.01,0.01,0.76,3,3,2,6,2,5,4.333333333333333,90.0,0.028,0.048,0.076,1.0,0.0446927374301676,0.0
7,True,28,90,1,0,1,0,1,0,1,0,6.6,0.6,2.0,0.9,0.03,0.57,0.6,1.05,4,7,4,11,9,5,3.0,90.0,0.028,0.048,0.076,1.0,0.03056768558951965,0.0
6,False,29,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5,5.0,90.0,0.03,0.152,0.182,1.0,0.025527192008879023,0.0
15,False,6,45,0,0,0,0,0,0,0,0,5.4,11.8,2.0,1.9,0.0,0.07,0.07,0.2,0,1,1,1,1,6,1.0,31.33333333333333,0.026,0.006,0.0,0.3481481481481481,0.0407040704070407,0.2
19,True,7,90,1,0,0,1,0,0,0,0,28.2,2.2,0.0,3.0,0.0,0.02,0.02,0.49,0,8,4,8,6,6,1.0,45.0,0.026,0.02,0.0,0.5,0.04285714285714286,0.0
